ANO,PRESIDENTE,VALOR GASTO,VARIAÇÃO NO ÍNDICE DE INFLAÇÃO (IPCA),VALOR GASTO CORRIGIDO PELA INFLAÇÃO (em milhões de R$),VALOR GASTO (em milhões de R$)
2003,Lula 1,5327599.63,3.104066779179932,16.537225024254298,5.32759963
2004,Lula 1,6541238.37,2.8819460210200187,18.851495892964973,6.54123837
2005,Lula 1,5204035.8,2.6831935942441034,13.963435522776987,5.2040358
2006,Lula 1,4977941.7299999995,2.538500446995718,12.636507306723637,4.9779417299999995
2007,Lula 2,3857905.4,2.464855171783626,9.509178077441977,3.8579054
2008,Lula 2,6084616.5,2.3573262160597444,14.343425990119686,6.0846165
2009,Lula 2,5438905.3,2.227268348734321,12.113901626453346,5.4389053
2010,Lula 2,6557394.19,2.1294807612606985,13.963844771607683,6.55739419
2011,Dilma 1,4587842.43,2.0090770290651125,9.217328839083265,4.587842429999999
2012,Dilma 1,4598570.59,1.8914657340941163,8.698038696797964,4.59857059
2013,Dilma 1,6022006.619999999,1.7818073230877627,10.730055495198984,6.022006619999999
2014,Dilma 1,9305096.620000001,1.6875562054754887,15.702873543629996,9.30509662
2015,Dilma 2,5706943.279999999,1.5751277310106566,8.989164619632913,5.706943279999999
2016,Dilma 2,4192262.08,1.4228050010658804,5.96477145320285,4.19226208
2017,Temer,4003637.8400000003,1.3504990769423324,5.406909207331394,4.003637840000001
2018,Temer,4866043.6,1.3130110815459,6.389169170085504,4.866043599999999
2019,Bolsonaro,5382478.100000001,1.265229346502688,6.810069249028031,5.3824781
2020,Bolsonaro,7314318.09,1.2143275149960049,8.881977710120024,7.3143180899999996
2021,Bolsonaro,9927562.290000001,1.16137799152927,11.529652353141921,9.927562290000001
2022,Bolsonaro,4997298.75,1.0521689102548475,5.258002380005411,4.99729875
