,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2022-08-05,20:00,Premier League,Matchweek 1,Fri,Away,W,2.0,0.0,Crystal Palace,1.0,0.9,43.0,25286.0,Martin Ødegaard,4-2-3-1,Anthony Taylor,Match Report,,10.0,2.0,15.0,1.0,0.0,0.0,2023,Arsenal
1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,2.0,Leicester City,2.6,0.6,51.0,60033.0,Martin Ødegaard,4-2-3-1,Darren England,Match Report,,19.0,7.0,12.6,0.0,0.0,0.0,2023,Arsenal
2,2022-08-20,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,0.0,Bournemouth,1.8,0.3,59.0,10423.0,Martin Ødegaard,4-2-3-1,Craig Pawson,Match Report,,14.0,6.0,14.6,0.0,0.0,0.0,2023,Arsenal
0,2020-09-21,20:15,Premier League,Matchweek 2,Mon,Away,W,3,1,Wolves,1.9,1.0,65.0,,Fernandinho,4-2-3-1,Andre Marriner,Match Report,,13.0,8.0,20.3,2.0,1.0,1.0,2023,ManchesterCity
2,2020-09-27,16:30,Premier League,Matchweek 3,Sun,Home,L,2,5,Leicester City,0.9,2.6,72.0,,Fernandinho,4-2-3-1,Michael Oliver,Match Report,,16.0,5.0,18.8,1.0,0.0,0.0,2023,ManchesterCity
4,2020-10-03,17:30,Premier League,Matchweek 4,Sat,Away,D,1,1,Leeds United,1.5,1.7,48.0,,Kevin De Bruyne,4-3-3,Mike Dean,Match Report,,23.0,1.0,17.6,1.0,0.0,0.0,2023,ManchesterCity
5,2020-10-17,17:30,Premier League,Matchweek 5,Sat,Home,W,1,0,Arsenal,1.5,0.9,59.0,,Raheem Sterling,3-5-2,Chris Kavanagh,Match Report,,13.0,5.0,16.8,0.0,0.0,0.0,2023,ManchesterCity
7,2020-10-24,12:30,Premier League,Matchweek 6,Sat,Away,D,1,1,West Ham,1.1,0.5,70.0,,Raheem Sterling,4-3-3,Anthony Taylor,Match Report,,14.0,7.0,20.3,1.0,0.0,0.0,2023,ManchesterCity
9,2020-10-31,12:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.5,0.5,64.0,,Kevin De Bruyne,4-3-3,Michael Oliver,Match Report,,16.0,8.0,18.3,2.0,0.0,0.0,2023,ManchesterCity
11,2020-11-08,16:30,Premier League,Matchweek 8,Sun,Home,D,1,1,Liverpool,1.6,1.4,54.0,,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,6.0,2.0,19.5,0.0,0.0,1.0,2023,ManchesterCity
12,2020-11-21,17:30,Premier League,Matchweek 9,Sat,Away,L,0,2,Tottenham,1.3,0.7,67.0,,Kevin De Bruyne,4-3-3,Mike Dean,Match Report,,21.0,5.0,15.6,0.0,0.0,0.0,2023,ManchesterCity
14,2020-11-28,15:00,Premier League,Matchweek 10,Sat,Home,W,5,0,Burnley,2.8,0.4,68.0,,Kevin De Bruyne,4-2-3-1,Lee Mason,Match Report,,19.0,7.0,15.8,0.0,0.0,0.0,2023,ManchesterCity
16,2020-12-05,15:00,Premier League,Matchweek 11,Sat,Home,W,2,0,Fulham,3.0,0.2,69.0,,Kevin De Bruyne,4-2-3-1,Jonathan Moss,Match Report,,15.0,5.0,16.0,0.0,1.0,1.0,2023,ManchesterCity
18,2020-12-12,17:30,Premier League,Matchweek 12,Sat,Away,D,0,0,Manchester Utd,1.2,1.0,54.0,,Fernandinho,4-2-3-1,Chris Kavanagh,Match Report,,9.0,2.0,17.4,1.0,0.0,0.0,2023,ManchesterCity
19,2020-12-15,20:00,Premier League,Matchweek 13,Tue,Home,D,1,1,West Brom,1.9,0.3,77.0,,Kevin De Bruyne,4-2-3-1,Peter Bankes,Match Report,,26.0,7.0,16.6,2.0,0.0,0.0,2023,ManchesterCity
20,2020-12-19,15:00,Premier League,Matchweek 14,Sat,Away,W,1,0,Southampton,1.1,1.0,52.0,,Kevin De Bruyne,4-2-3-1,Mike Dean,Match Report,,11.0,5.0,19.1,0.0,0.0,0.0,2023,ManchesterCity
22,2020-12-26,20:00,Premier League,Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,1.8,0.3,75.0,,Kevin De Bruyne,4-3-3◆,Andre Marriner,Match Report,,11.0,6.0,12.3,0.0,0.0,0.0,2023,ManchesterCity
23,2021-01-03,16:30,Premier League,Matchweek 17,Sun,Away,W,3,1,Chelsea,2.4,0.8,46.0,,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,18.0,6.0,14.6,1.0,0.0,0.0,2023,ManchesterCity
26,2021-01-13,18:00,Premier League,Matchweek 18,Wed,Home,W,1,0,Brighton,2.6,0.2,65.0,,Kevin De Bruyne,4-3-3,Darren England,Match Report,,15.0,6.0,16.5,0.0,0.0,1.0,2023,ManchesterCity
27,2021-01-17,19:15,Premier League,Matchweek 19,Sun,Home,W,4,0,Crystal Palace,0.9,0.0,72.0,,Fernandinho,4-3-3,Lee Mason,Match Report,,13.0,6.0,17.8,2.0,0.0,0.0,2023,ManchesterCity
28,2021-01-20,18:00,Premier League,Matchweek 1,Wed,Home,W,2,0,Aston Villa,4.3,0.8,68.0,,Kevin De Bruyne,4-3-3,Jonathan Moss,Match Report,,27.0,8.0,14.8,0.0,1.0,1.0,2023,ManchesterCity
30,2021-01-26,20:15,Premier League,Matchweek 20,Tue,Away,W,5,0,West Brom,2.0,0.4,77.0,,Raheem Sterling,4-3-3,Chris Kavanagh,Match Report,,18.0,7.0,17.0,0.0,0.0,0.0,2023,ManchesterCity
31,2021-01-30,15:00,Premier League,Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1.2,0.2,74.0,,Fernandinho,4-3-3,David Coote,Match Report,,10.0,5.0,16.2,0.0,0.0,0.0,2023,ManchesterCity
32,2021-02-03,18:00,Premier League,Matchweek 22,Wed,Away,W,2,0,Burnley,2.6,0.1,74.0,,Raheem Sterling,4-3-3,Martin Atkinson,Match Report,,13.0,6.0,15.0,0.0,0.0,0.0,2023,ManchesterCity
33,2021-02-07,16:30,Premier League,Matchweek 23,Sun,Away,W,4,1,Liverpool,3.1,1.3,44.0,,Raheem Sterling,4-3-3,Michael Oliver,Match Report,,7.0,5.0,12.8,0.0,0.0,1.0,2023,ManchesterCity
35,2021-02-13,17:30,Premier League,Matchweek 24,Sat,Home,W,3,0,Tottenham,2.9,0.6,61.0,,Raheem Sterling,4-3-3,Paul Tierney,Match Report,,14.0,5.0,15.2,0.0,1.0,1.0,2023,ManchesterCity
36,2021-02-17,20:15,Premier League,Matchweek 16,Wed,Away,W,3,1,Everton,1.5,1.0,71.0,,Raheem Sterling,4-3-3,Andre Marriner,Match Report,,16.0,7.0,17.0,0.0,0.0,0.0,2023,ManchesterCity
37,2021-02-21,16:30,Premier League,Matchweek 25,Sun,Away,W,1,0,Arsenal,2.0,0.3,56.0,,Fernandinho,4-3-3,Jonathan Moss,Match Report,,15.0,3.0,15.4,0.0,0.0,0.0,2023,ManchesterCity
39,2021-02-27,12:30,Premier League,Matchweek 26,Sat,Home,W,2,1,West Ham,0.6,1.6,63.0,,Fernandinho,4-3-3,Michael Oliver,Match Report,,10.0,3.0,19.3,0.0,0.0,0.0,2023,ManchesterCity
40,2021-03-02,20:00,Premier League,Matchweek 29,Tue,Home,W,4,1,Wolves,2.3,0.4,73.0,,Kevin De Bruyne,4-3-3,Chris Kavanagh,Match Report,,21.0,10.0,13.9,0.0,0.0,0.0,2023,ManchesterCity
41,2021-03-07,16:30,Premier League,Matchweek 27,Sun,Home,L,0,2,Manchester Utd,1.5,1.6,66.0,,Kevin De Bruyne,4-3-3,Anthony Taylor,Match Report,,23.0,6.0,18.1,1.0,0.0,0.0,2023,ManchesterCity
42,2021-03-10,18:00,Premier League,Matchweek 33,Wed,Home,W,5,2,Southampton,2.7,1.8,57.0,,Fernandinho,4-3-3,Jonathan Moss,Match Report,,17.0,10.0,15.7,0.0,0.0,0.0,2023,ManchesterCity
43,2021-03-13,20:00,Premier League,Matchweek 28,Sat,Away,W,3,0,Fulham,2.3,0.3,54.0,,Sergio Agüero,3-4-3,Andre Marriner,Match Report,,7.0,6.0,14.7,0.0,1.0,1.0,2023,ManchesterCity
46,2021-04-03,17:30,Premier League,Matchweek 30,Sat,Away,W,2,0,Leicester City,2.3,0.4,56.0,,Fernandinho,4-2-3-1,Anthony Taylor,Match Report,,12.0,4.0,15.8,1.0,0.0,0.0,2023,ManchesterCity
48,2021-04-10,12:30,Premier League,Matchweek 31,Sat,Home,L,1,2,Leeds United,2.4,0.3,71.0,,Fernandinho,4-3-3,Andre Marriner,Match Report,,29.0,7.0,17.9,1.0,0.0,0.0,2023,ManchesterCity
